Generation,BeakSize
7,9.25310076631278
7,8.361547544554066
7,8.240880645183061
7,7.5438922548649385
7,8.900380879315597
7,8.88720519930888
7,8.642519242120422
7,9.13163292082502
7,4.695507579201051
7,2.6430729074418546
7,7.622226901219063
7,4.171477705537776
7,8.38563795056616
7,3.4880391290274075
7,8.916950584754744
7,8.739710337414841
7,2.8537342543665147
7,3.2894945687319623
7,7.803952532363143
7,-0.35984946655384237
7,7.535199491315838
7,6.973732871283169
7,9.345251380141969
7,4.371843775861906
7,8.47859536632205
7,7.4506277096259215
7,7.270786587565155
7,8.112710922897683
8,7.622226901219063
8,3.47139710570073
8,2.6430729074418546
8,7.4506277096259215
8,7.803952532363143
8,4.155235898142764
8,8.798926040145343
8,6.973732871283169
8,8.02952539547212
8,8.159287843303812
8,8.240880645183061
8,7.5438922548649385
8,8.193170642375154
8,7.452978175188749
8,7.391769524348227
8,8.711392588381525
8,8.47859536632205
8,8.739710337414841
8,2.8537342543665147
8,4.171477705537776
8,8.196793115963036
8,7.535199491315838
8,4.371843775861906
8,6.925930052783388
8,9.345251380141969
8,8.72785481127018
8,4.13157013104549
8,8.38563795056616
8,3.2894945687319623
8,3.4880391290274075
8,3.6464056467855013
8,2.8282474987181256
8,7.792309582213055
8,4.213672614502426
8,8.19106687300766
8,8.923736603418487
8,7.631944571174578
8,3.374851089341454
8,8.49852224809985
8,7.181317847030392
8,6.987645236018145
8,3.977194160291898
8,7.382308161572345
8,3.089859363753228
8,8.752831673783916
9,8.49852224809985
9,8.196793115963036
9,2.8537342543665147
9,3.6464056467855013
9,3.089859363753228
9,9.345251380141969
9,7.382308161572345
9,8.38563795056616
9,3.2894945687319623
9,7.803952532363143
9,7.631944571174578
9,3.4880391290274075
9,7.792309582213055
9,8.19106687300766
9,8.752831673783916
9,8.47859536632205
9,4.171477705537776
9,8.72785481127018
9,4.371843775861906
9,7.391769524348227
9,3.47139710570073
9,8.739710337414841
9,4.213672614502426
9,7.181317847030392
9,3.977194160291898
